dataset_name,nmi,ari,acc,Combination
Meadow,0.02744,0.03571,0.59582,attention-reconstruction-DEC
Orchards,0.16865,0.14761,0.69212,attention-reconstruction-DEC
Sud,0.52729,0.41286,0.46033,attention-reconstruction-DEC
full,0.01427,0.01988,0.57066,attention-reconstruction-DEC
Meadow,0.02174,0.03149,0.58964,attention-reconstruction-DEPICT
Orchards,0.14103,0.12277,0.67522,attention-reconstruction-DEPICT
Sud,0.5233,0.4103,0.47614,attention-reconstruction-DEPICT
full,0.05017,0.06933,0.63168,attention-reconstruction-DEPICT
Orchards,0.21803,0.28299,0.766,attention-reconstruction-DTCR
Sud,0.47459,0.33388,0.38444,attention-reconstruction-DTCR
Orchards,0.10553,0.13775,0.6856,attention-reconstruction-GAN
Sud,0.45832,0.3449,0.45374,attention-reconstruction-GAN
Meadow,0.02901,0.03665,0.59714,attention-reconstruction-IDEC
Orchards,0.14627,0.11374,0.66865,attention-reconstruction-IDEC
Sud,0.53211,0.38732,0.45993,attention-reconstruction-IDEC
full,0.02125,0.02892,0.58516,attention-reconstruction-IDEC
Meadow,0.03278,0.03927,0.6006,attention-reconstruction-None
Orchards,0.13032,0.0934,0.65283,attention-reconstruction-None
Sud,0.52794,0.3832,0.46114,attention-reconstruction-None
full,0.01969,0.0272,0.58259,attention-reconstruction-None
Meadow,0.0,0.0,0.5318,attention-tripletK10-DEC
Orchards,0.0,0.0,0.501,attention-tripletK10-DEC
Sud,0.46755,0.29051,0.42223,attention-tripletK10-DEC
full,0.00139,0.00179,0.52128,attention-tripletK10-DEC
Meadow,0.02888,0.03172,0.59121,attention-tripletK10-DEPICT
Orchards,0.16956,0.17015,0.70626,attention-tripletK10-DEPICT
Sud,0.48325,0.38452,0.49377,attention-tripletK10-DEPICT
full,0.00498,0.00599,0.53884,attention-tripletK10-DEPICT
Meadow,0.01433,0.02024,0.57121,attention-tripletK10-DTCR
Orchards,0.03515,0.04271,0.60338,attention-tripletK10-DTCR
Sud,0.37725,0.1982,0.33468,attention-tripletK10-DTCR
full,0.03965,0.05148,0.61348,attention-tripletK10-DTCR
Meadow,0.12236,0.0421,0.60597,attention-tripletK10-IDEC
Orchards,0.0,0.0,0.501,attention-tripletK10-IDEC
Sud,0.48325,0.32435,0.3969,attention-tripletK10-IDEC
full,0.00311,0.00405,0.53192,attention-tripletK10-IDEC
Meadow,0.10692,0.03279,0.59458,attention-tripletK10-None
Orchards,0.11044,0.12328,0.67558,attention-tripletK10-None
Sud,0.46116,0.2431,0.3815,attention-tripletK10-None
full,0.07905,0.10785,0.66422,attention-tripletK10-None
Meadow,0.00249,0.00521,0.53777,attention-tripletK1-DEC
Orchards,0.24706,0.28822,0.76845,attention-tripletK1-DEC
Sud,0.51108,0.60593,0.56966,attention-tripletK1-DEC
full,0.04423,0.06033,0.62287,attention-tripletK1-DEC
Meadow,0.00588,0.01046,0.5527,attention-tripletK1-DEPICT
Orchards,0.22389,0.27609,0.76274,attention-tripletK1-DEPICT
Sud,0.48389,0.4424,0.52498,attention-tripletK1-DEPICT
full,0.02097,0.02829,0.58413,attention-tripletK1-DEPICT
Meadow,0.12915,0.1758,0.7097,attention-tripletK1-DTCR
Orchards,0.05399,0.07074,0.63302,attention-tripletK1-DTCR
Sud,0.43067,0.38938,0.4275,attention-tripletK1-DTCR
full,0.03696,0.0364,0.59557,attention-tripletK1-DTCR
Meadow,8,00E-05,-1,00E-05,0.53176,attention-tripletK1-IDEC
Orchards,0.26344,0.26918,0.75943,attention-tripletK1-IDEC
Sud,0.45383,0.5468,0.62539,attention-tripletK1-IDEC
full,5,00E-05,4,00E-05,0.51539,attention-tripletK1-IDEC
Meadow,0.00292,0.00592,0.54012,attention-tripletK1-None
Orchards,0.2324,0.27154,0.76056,attention-tripletK1-None
Sud,0.46827,0.40119,0.4736,attention-tripletK1-None
full,0.0558,0.07678,0.63858,attention-tripletK1-None
Meadow,0.01904,0.02522,0.57948,attention-tripletK2-DEC
Orchards,0.05871,0.05585,0.6182,attention-tripletK2-DEC
Sud,0.0,0.0,0.44341,attention-tripletK2-DEC
full,0.12402,0.16747,0.70463,attention-tripletK2-DEC
Meadow,0.00954,0.01563,0.5637,attention-tripletK2-DEPICT
Orchards,0.06116,0.07806,0.63973,attention-tripletK2-DEPICT
Sud,0.0,0.0,0.44341,attention-tripletK2-DEPICT
full,0.11364,0.14946,0.69331,attention-tripletK2-DEPICT
Meadow,0.00149,0.00019,0.53248,attention-tripletK2-DTCR
Orchards,0.15028,0.18001,0.71216,attention-tripletK2-DTCR
Sud,0.4771,0.46452,0.47401,attention-tripletK2-DTCR
full,0.00011,-0.00019,0.50118,attention-tripletK2-DTCR
Meadow,0.01098,-0.00269,0.51533,attention-tripletK2-IDEC
Orchards,0.09962,0.07148,0.6337,attention-tripletK2-IDEC
Sud,0.0,0.0,0.44341,attention-tripletK2-IDEC
full,0.0,0.0,0.51517,attention-tripletK2-IDEC
Meadow,0.00402,0.00397,0.53201,attention-tripletK2-None
Orchards,0.06523,0.05916,0.62165,attention-tripletK2-None
Sud,0.22689,0.10768,0.24106,attention-tripletK2-None
full,0.10587,0.13878,0.68628,attention-tripletK2-None
Meadow,0.00392,0.00686,0.54199,attention-tripletK5-DEC
Orchards,0.01361,0.0183,0.56771,attention-tripletK5-DEC
Sud,0.45792,0.40527,0.47492,attention-tripletK5-DEC
full,0.02598,0.01482,0.56154,attention-tripletK5-DEC
Meadow,0.00246,-0.00089,0.50731,attention-tripletK5-DEPICT
